
2006-10-28 20.10.47 #  # registerFailed # Failed to register StatusInfoAccess [*4] # org.omg.CORBA.TRANSIENT: no usable profile in IOR  minor code: 0x4f4d0002  completed: No # 582 # 81250488 # com.appium.impl.core.xee.XProcessImpl # localhost # NSim.NSim@localhost.0
2006-10-28 20.10.47 #  # registerFailed # Failed to register XTransport [*4] # org.omg.CORBA.COMM_FAILURE: socket() failed: java.net.NoRouteToHostException: No route to host: connect  minor code: 0x4f4f0005  completed: No # 582 # 81250490 # com.appium.impl.core.xee.XProcessImpl # localhost # NSim.NSim@localhost.0
2006-10-28 20.10.49 #  # registerFailed # Failed to register StatusInfoAccess [*4] # org.omg.CORBA.TRANSIENT: no usable profile in IOR  minor code: 0x4f4d0002  completed: No # 582 # 81250520 # com.appium.impl.core.xee.XProcessImpl # localhost # NSim.NSim@localhost.0
2006-10-28 20.10.49 #  # registerFailed # Failed to register NSim [*4] # org.omg.CORBA.TRANSIENT: no usable profile in IOR  minor code: 0x4f4d0002  completed: No # 582 # 81250521 # com.appium.impl.core.xee.XProcessImpl # localhost # NSim.NSim@localhost.0
2006-10-28 20.10.49 #  # registerFailed # Failed to register XTransport [*4] # org.omg.CORBA.COMM_FAILURE: socket() failed: java.net.NoRouteToHostException: No route to host: connect  minor code: 0x4f4f0005  completed: No # 582 # 81250522 # com.appium.impl.core.xee.XProcessImpl # localhost # NSim.NSim@localhost.0
2006-10-28 20.10.52 #  # registerFailed # Failed to register StatusInfoAccess [*4] # org.omg.CORBA.TRANSIENT: no usable profile in IOR  minor code: 0x4f4d0002  completed: No # 582 # 81250552 # com.appium.impl.core.xee.XProcessImpl # localhost # NSim.NSim@localhost.0
2006-10-28 20.10.52 #  # registerFailed # Failed to register NSim [*4] # org.omg.CORBA.COMM_FAILURE: socket() failed: java.net.NoRouteToHostException: No route to host: connect  minor code: 0x4f4f0005  completed: No # 582 # 81250553 # com.appium.impl.core.xee.XProcessImpl # localhost # NSim.NSim@localhost.0
2006-10-28 20.10.52 #  # registerFailed # Failed to register XTransport [*4] # org.omg.CORBA.COMM_FAILURE: socket() failed: java.net.NoRouteToHostException: No route to host: connect  minor code: 0x4f4f0005  completed: No # 582 # 81250554 # com.appium.impl.core.xee.XProcessImpl # localhost # NSim.NSim@localhost.0
2006-10-28 20.10.54 #  # registerFailed # Failed to register NSim [*4] # org.omg.CORBA.TRANSIENT: no usable profile in IOR  minor code: 0x4f4d0002  completed: No # 582 # 81250583 # com.appium.impl.core.xee.XProcessImpl # localhost # NSim.NSim@localhost.0
2006-10-28 20.10.54 #  # registerFailed # Failed to register StatusInfoAccess [*4] # org.omg.CORBA.TRANSIENT: no usable profile in IOR  minor code: 0x4f4d0002  completed: No # 582 # 81250584 # com.appium.impl.core.xee.XProcessImpl # localhost # NSim.NSim@localhost.0
2006-10-28 20.10.54 #  # registerFailed # Failed to register XTransport [*4] # org.omg.CORBA.COMM_FAILURE: socket() failed: java.net.NoRouteToHostException: No route to host: connect  minor code: 0x4f4f0005  completed: No # 582 # 81250586 # com.appium.impl.core.xee.XProcessImpl # localhost # NSim.NSim@localhost.0
2006-10-28 20.10.56 #  # registerFailed # Failed to register StatusInfoAccess [*4] # org.omg.CORBA.TRANSIENT: no usable profile in IOR  minor code: 0x4f4d0002  completed: No # 582 # 81250616 # com.appium.impl.core.xee.XProcessImpl # localhost # NSim.NSim@localhost.0
2006-10-28 20.10.56 #  # registerFailed # Failed to register NSim [*4] # org.omg.CORBA.TRANSIENT: no usable profile in IOR  minor code: 0x4f4d0002  completed: No # 582 # 81250617 # com.appium.impl.core.xee.XProcessImpl # localhost # NSim.NSim@localhost.0
2006-10-28 20.10.56 #  # registerFailed # Failed to register XTransport [*4] # org.omg.CORBA.COMM_FAILURE: socket() failed: java.net.NoRouteToHostException: No route to host: connect  minor code: 0x4f4f0005  completed: No # 582 # 81250618 # com.appium.impl.core.xee.XProcessImpl # localhost # NSim.NSim@localhost.0
2006-10-28 20.10.58 #  # registerFailed # Failed to register StatusInfoAccess [*4] # org.omg.CORBA.TRANSIENT: no usable profile in IOR  minor code: 0x4f4d0002  completed: No # 582 # 81250648 # com.appium.impl.core.xee.XProcessImpl # localhost # NSim.NSim@localhost.0
2006-10-28 20.10.58 #  # registerFailed # Failed to register NSim [*4] # org.omg.CORBA.COMM_FAILURE: socket() failed: java.net.NoRouteToHostException: No route to host: connect  minor code: 0x4f4f0005  completed: No # 582 # 81250649 # com.appium.impl.core.xee.XProcessImpl # localhost # NSim.NSim@localhost.0
2006-10-28 20.10.58 #  # registerFailed # Failed to register XTransport [*4] # org.omg.CORBA.COMM_FAILURE: socket() failed: java.net.NoRouteToHostException: No route to host: connect  minor code: 0x4f4f0005  completed: No # 582 # 81250650 # com.appium.impl.core.xee.XProcessImpl # localhost # NSim.NSim@localhost.0
2006-10-28 20.11.00 #  # registerFailed # Failed to register NSim [*4] # org.omg.CORBA.TRANSIENT: no usable profile in IOR  minor code: 0x4f4d0002  completed: No # 582 # 81250680 # com.appium.impl.core.xee.XProcessImpl # localhost # NSim.NSim@localhost.0
2006-10-28 20.11.00 #  # registerFailed # Failed to register StatusInfoAccess [*4] # org.omg.CORBA.TRANSIENT: no usable profile in IOR  minor code: 0x4f4d0002  completed: No # 582 # 81250681 # com.appium.impl.core.xee.XProcessImpl # localhost # NSim.NSim@localhost.0
2006-10-28 20.11.01 #  # registerFailed # Failed to register XTransport [*5] # org.omg.CORBA.TRANSIENT: no usable profile in IOR  minor code: 0x4f4d0002  completed: No # 582 # 81250689 # com.appium.impl.core.xee.XProcessImpl # localhost # NSim.NSim@localhost.0
2006-10-28 20.11.02 #  # registerFailed # Failed to register StatusInfoAccess [*4] # org.omg.CORBA.TRANSIENT: no usable profile in IOR  minor code: 0x4f4d0002  completed: No # 582 # 81250712 # com.appium.impl.core.xee.XProcessImpl # localhost # NSim.NSim@localhost.0
2006-10-28 20.11.02 #  # registerFailed # Failed to register NSim [*4] # org.omg.CORBA.TRANSIENT: no usable profile in IOR  minor code: 0x4f4d0002  completed: No # 582 # 81250713 # com.appium.impl.core.xee.XProcessImpl # localhost # NSim.NSim@localhost.0
2006-10-28 20.11.03 #  # registerFailed # Failed to register XTransport [*4] # org.omg.CORBA.COMM_FAILURE: socket() failed: java.net.NoRouteToHostException: No route to host: connect  minor code: 0x4f4f0005  completed: No # 582 # 81250721 # com.appium.impl.core.xee.XProcessImpl # localhost # NSim.NSim@localhost.0
2006-10-28 20.11.04 #  # registerFailed # Failed to register StatusInfoAccess [*4] # org.omg.CORBA.TRANSIENT: no usable profile in IOR  minor code: 0x4f4d0002  completed: No # 582 # 81250743 # com.appium.impl.core.xee.XProcessImpl # localhost # NSim.NSim@localhost.0
2006-10-28 20.11.04 #  # registerFailed # Failed to register NSim [*4] # org.omg.CORBA.TRANSIENT: no usable profile in IOR  minor code: 0x4f4d0002  completed: No # 582 # 81250744 # com.appium.impl.core.xee.XProcessImpl # localhost # NSim.NSim@localhost.0
2006-10-28 20.11.05 #  # registerFailed # Failed to register XTransport [*4] # org.omg.CORBA.COMM_FAILURE: socket() failed: java.net.NoRouteToHostException: No route to host: connect  minor code: 0x4f4f0005  completed: No # 582 # 81250753 # com.appium.impl.core.xee.XProcessImpl # localhost # NSim.NSim@localhost.0
2006-10-28 20.11.06 #  # registerFailed # Failed to register NSim [*4] # org.omg.CORBA.TRANSIENT: no usable profile in IOR  minor code: 0x4f4d0002  completed: No # 582 # 81250775 # com.appium.impl.core.xee.XProcessImpl # localhost # NSim.NSim@localhost.0
2006-10-28 20.11.06 #  # registerFailed # Failed to register StatusInfoAccess [*4] # org.omg.CORBA.TRANSIENT: no usable profile in IOR  minor code: 0x4f4d0002  completed: No # 582 # 81250776 # com.appium.impl.core.xee.XProcessImpl # localhost # NSim.NSim@localhost.0
2006-10-28 20.11.07 #  # registerFailed # Failed to register XTransport [*4] # org.omg.CORBA.TRANSIENT: no usable profile in IOR  minor code: 0x4f4d0002  completed: No # 582 # 81250783 # com.appium.impl.core.xee.XProcessImpl # localhost # NSim.NSim@localhost.0
2006-10-28 20.11.08 #  # registerFailed # Failed to register StatusInfoAccess [*4] # org.omg.CORBA.TRANSIENT: no usable profile in IOR  minor code: 0x4f4d0002  completed: No # 582 # 81250808 # com.appium.impl.core.xee.XProcessImpl # localhost # NSim.NSim@localhost.0
2006-10-28 20.11.08 #  # registerFailed # Failed to register NSim [*4] # org.omg.CORBA.TRANSIENT: no usable profile in IOR  minor code: 0x4f4d0002  completed: No # 582 # 81250809 # com.appium.impl.core.xee.XProcessImpl # localhost # NSim.NSim@localhost.0
2006-10-28 20.11.09 #  # registerFailed # Failed to register XTransport [*4] # org.omg.CORBA.COMM_FAILURE: socket() failed: java.net.NoRouteToHostException: No route to host: connect  minor code: 0x4f4f0005  completed: No # 582 # 81250817 # com.appium.impl.core.xee.XProcessImpl # localhost # NSim.NSim@localhost.0
2006-10-28 20.11.10 #  # registerFailed # Failed to register StatusInfoAccess [*4] # org.omg.CORBA.TRANSIENT: no usable profile in IOR  minor code: 0x4f4d0002  completed: No # 582 # 81250839 # com.appium.impl.core.xee.XProcessImpl # localhost # NSim.NSim@localhost.0
2006-10-28 20.11.10 #  # registerFailed # Failed to register NSim [*4] # org.omg.CORBA.TRANSIENT: no usable profile in IOR  minor code: 0x4f4d0002  completed: No # 582 # 81250840 # com.appium.impl.core.xee.XProcessImpl # localhost # NSim.NSim@localhost.0
